2017-12-10 15:39:51,417 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:39:51,417 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 15:40:08,240 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:40:08,240 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 15:40:08,240 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 15:40:08,240 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 16:17:49,873 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 16:17:49,873 [Worker-55] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-12-10 16:17:51,814 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:17:51,814 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 16:17:51,829 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:17:51,829 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 16:35:12,100 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:35:12,116 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 16:35:12,116 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:35:12,116 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 16:40:20,642 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:40:20,642 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 16:40:20,658 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:40:20,658 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 16:40:50,811 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:40:50,811 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 16:40:50,811 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:40:50,811 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 16:41:15,588 [Worker-66] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 16:41:15,588 [Worker-66] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-12-10 16:41:17,355 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:41:17,355 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 16:41:17,355 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 16:41:17,355 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 17:46:01,171 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:46:01,175 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 17:46:01,178 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:46:01,179 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 17:46:16,118 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:46:16,120 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 17:46:16,122 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:46:16,123 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 17:58:05,379 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:58:05,381 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 17:58:05,382 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 17:58:05,383 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:12:21,832 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:12:21,832 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:12:21,836 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:12:21,836 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:51:22,062 [Worker-113] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 18:51:22,064 [Worker-113] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-12-10 18:51:55,743 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:51:55,746 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:51:55,747 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:51:55,748 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:52:03,538 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 18:52:03,538 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-12-10 18:52:05,328 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:52:05,330 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:52:05,331 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:52:05,333 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:52:13,767 [Worker-111] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 18:52:13,767 [Worker-111] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-12-10 18:52:18,527 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:52:18,529 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:52:18,531 [Worker-99] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:52:18,531 [Worker-99] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:53:35,045 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:35,046 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:53:35,047 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:35,048 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:53:42,652 [Worker-115] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 18:53:42,652 [Worker-115] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2017-12-10 18:53:44,441 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:44,443 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:53:44,444 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:44,445 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 18:53:48,921 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate - F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist
2017-12-10 18:53:48,921 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-12-10 18:53:53,379 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:53,381 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 18:53:53,382 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 18:53:53,383 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
